sentence,sentiment,Cleaned_Text,Lemmatized_Text
"Worst service to boot,  but that is the least of their worries.",negative,worst service to boot but that is the least of their worries,bad service to boot but that be the least of their worry
Service was fine and the waitress was friendly.,positive,service was fine and the waitress was friendly,service be fine and the waitress be friendly
"The guys all had steaks,  and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",positive,the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten,the guy all have steak and our steak love son who have have steak at the good and bad place say it be the good steak he s ever eat
"We thought you'd have to venture further away to get good sushi,  but this place really hit the spot that night.",positive,we thought youd have to venture further away to get good sushi but this place really hit the spot that night,we think you d have to venture far away to get good sushi but this place really hit the spot that night
"Host staff were,  for lack of a better word,  BITCHES!",negative,host staff were for lack of a better word bitches,host staff be for lack of a well word bitch
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative,bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that,bland not a like this place for a number of reason and I do not want to waste time on bad review ill leave it at that
"Phenomenal food,  service and ambiance.",positive,phenomenal food service and ambiance,phenomenal food service and ambiance
I wouldn't return.,negative,i wouldnt return,I would not return
"Definitely worth venturing off the strip for the pork belly,  will return next time I'm in Vegas.",positive,definitely worth venturing off the strip for the pork belly will return next time im in vegas,definitely worth venture off the strip for the pork belly will return next time I m in vegas
This place is way too overpriced for mediocre food.,negative,this place is way too overpriced for mediocre food,this place be way too overpriced for mediocre food
Penne vodka excellent!,positive,penne vodka excellent,penne vodka excellent
"They have a good selection of food including a massive meatloaf sandwich,  a crispy chicken wrap,  a delish tuna melt and some tasty burgers.",positive,they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,they have a good selection of food include a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burger
